departement,poids_kg,prix_ht
01,0 à 4 kg,36.39
02,0 à 4 kg,34.32
03,0 à 4 kg,34.32
04,0 à 4 kg,38.730000000000004
05,0 à 4 kg,38.49
06,0 à 4 kg,39.0
07,0 à 4 kg,38.28
08,0 à 4 kg,36.39
09,0 à 4 kg,38.49
10,0 à 4 kg,34.32
11,0 à 4 kg,38.49
12,0 à 4 kg,38.025000000000006
13,0 à 4 kg,38.730000000000004
14,0 à 4 kg,30.119999999999997
15,0 à 4 kg,36.39
16,0 à 4 kg,32.22
17,0 à 4 kg,32.22
18,0 à 4 kg,30.119999999999997
19,0 à 4 kg,34.32
20,0 à 4 kg,124.32
21,0 à 4 kg,36.39
22,0 à 4 kg,32.22
23,0 à 4 kg,32.22
24,0 à 4 kg,34.32
25,0 à 4 kg,38.025000000000006
26,0 à 4 kg,38.025000000000006
27,0 à 4 kg,30.119999999999997
28,0 à 4 kg,27.39
29,0 à 4 kg,34.32
30,0 à 4 kg,38.49
31,0 à 4 kg,38.28
32,0 à 4 kg,38.025000000000006
33,0 à 4 kg,36.39
34,0 à 4 kg,38.49
35,0 à 4 kg,30.119999999999997
36,0 à 4 kg,30.119999999999997
37,0 à 4 kg,27.39
38,0 à 4 kg,38.28
39,0 à 4 kg,38.025000000000006
40,0 à 4 kg,38.025000000000006
41,0 à 4 kg,27.39
42,0 à 4 kg,36.39
43,0 à 4 kg,38.025000000000006
44,0 à 4 kg,30.119999999999997
45,0 à 4 kg,30.119999999999997
46,0 à 4 kg,36.39
47,0 à 4 kg,38.025000000000006
48,0 à 4 kg,38.28
49,0 à 4 kg,27.39
50,0 à 4 kg,30.119999999999997
51,0 à 4 kg,34.32
52,0 à 4 kg,36.39
53,0 à 4 kg,27.39
54,0 à 4 kg,38.025000000000006
55,0 à 4 kg,36.39
56,0 à 4 kg,32.22
57,0 à 4 kg,38.025000000000006
58,0 à 4 kg,32.22
59,0 à 4 kg,36.39
60,0 à 4 kg,32.22
61,0 à 4 kg,27.39
62,0 à 4 kg,34.32
63,0 à 4 kg,34.32
64,0 à 4 kg,38.025000000000006
65,0 à 4 kg,38.28
66,0 à 4 kg,38.730000000000004
67,0 à 4 kg,38.28
68,0 à 4 kg,38.28
69,0 à 4 kg,36.39
70,0 à 4 kg,38.025000000000006
71,0 à 4 kg,36.39
72,0 à 4 kg,16.365000000000002
73,0 à 4 kg,38.025000000000006
74,0 à 4 kg,38.28
75,0 à 4 kg,32.22
76,0 à 4 kg,32.22
77,0 à 4 kg,32.22
78,0 à 4 kg,32.22
79,0 à 4 kg,30.119999999999997
80,0 à 4 kg,32.22
81,0 à 4 kg,38.28
82,0 à 4 kg,38.025000000000006
83,0 à 4 kg,38.730000000000004
84,0 à 4 kg,38.49
85,0 à 4 kg,30.119999999999997
86,0 à 4 kg,30.119999999999997
87,0 à 4 kg,32.22
88,0 à 4 kg,38.025000000000006
89,0 à 4 kg,32.22
90,0 à 4 kg,38.025000000000006
91,0 à 4 kg,32.22
92,0 à 4 kg,32.22
93,0 à 4 kg,32.22
94,0 à 4 kg,32.22
95,0 à 4 kg,32.22
01,5 à 9 kg,43.05
02,5 à 9 kg,40.305
03,5 à 9 kg,40.305
04,5 à 9 kg,49.89
05,5 à 9 kg,48.33
06,5 à 9 kg,51.315
07,5 à 9 kg,46.89
08,5 à 9 kg,43.05
09,5 à 9 kg,48.33
10,5 à 9 kg,40.305
11,5 à 9 kg,48.33
12,5 à 9 kg,45.525000000000006
13,5 à 9 kg,49.89
14,5 à 9 kg,35.025000000000006
15,5 à 9 kg,43.05
16,5 à 9 kg,37.724999999999994
17,5 à 9 kg,37.724999999999994
18,5 à 9 kg,35.025000000000006
19,5 à 9 kg,40.305
20,5 à 9 kg,142.5
21,5 à 9 kg,43.05
22,5 à 9 kg,37.724999999999994
23,5 à 9 kg,37.724999999999994
24,5 à 9 kg,40.305
25,5 à 9 kg,45.525000000000006
26,5 à 9 kg,45.525000000000006
27,5 à 9 kg,35.025000000000006
28,5 à 9 kg,30.855
29,5 à 9 kg,40.305
30,5 à 9 kg,48.33
31,5 à 9 kg,46.89
32,5 à 9 kg,45.525000000000006
33,5 à 9 kg,43.05
34,5 à 9 kg,48.33
35,5 à 9 kg,35.025000000000006
36,5 à 9 kg,35.025000000000006
37,5 à 9 kg,30.855
38,5 à 9 kg,46.89
39,5 à 9 kg,45.525000000000006
40,5 à 9 kg,45.525000000000006
41,5 à 9 kg,30.855
42,5 à 9 kg,43.05
43,5 à 9 kg,45.525000000000006
44,5 à 9 kg,35.025000000000006
45,5 à 9 kg,35.025000000000006
46,5 à 9 kg,43.05
47,5 à 9 kg,45.525000000000006
48,5 à 9 kg,46.89
49,5 à 9 kg,30.855
50,5 à 9 kg,35.025000000000006
51,5 à 9 kg,40.305
52,5 à 9 kg,43.05
53,5 à 9 kg,30.855
54,5 à 9 kg,45.525000000000006
55,5 à 9 kg,43.05
56,5 à 9 kg,37.724999999999994
57,5 à 9 kg,45.525000000000006
58,5 à 9 kg,37.724999999999994
59,5 à 9 kg,43.05
60,5 à 9 kg,37.724999999999994
61,5 à 9 kg,30.855
62,5 à 9 kg,40.305
63,5 à 9 kg,40.305
64,5 à 9 kg,45.525000000000006
65,5 à 9 kg,46.89
66,5 à 9 kg,49.89
67,5 à 9 kg,46.89
68,5 à 9 kg,46.89
69,5 à 9 kg,43.05
70,5 à 9 kg,45.525000000000006
71,5 à 9 kg,43.05
72,5 à 9 kg,17.91
73,5 à 9 kg,45.525000000000006
74,5 à 9 kg,46.89
75,5 à 9 kg,37.724999999999994
76,5 à 9 kg,37.724999999999994
77,5 à 9 kg,37.724999999999994
78,5 à 9 kg,37.724999999999994
79,5 à 9 kg,35.025000000000006
80,5 à 9 kg,37.724999999999994
81,5 à 9 kg,46.89
82,5 à 9 kg,45.525000000000006
83,5 à 9 kg,49.89
84,5 à 9 kg,48.33
85,5 à 9 kg,35.025000000000006
86,5 à 9 kg,35.025000000000006
87,5 à 9 kg,37.724999999999994
88,5 à 9 kg,45.525000000000006
89,5 à 9 kg,37.724999999999994
90,5 à 9 kg,45.525000000000006
91,5 à 9 kg,37.724999999999994
92,5 à 9 kg,37.724999999999994
93,5 à 9 kg,37.724999999999994
94,5 à 9 kg,37.724999999999994
95,5 à 9 kg,37.724999999999994
01,10 à 14 kg,49.69500000000001
02,10 à 14 kg,46.32
03,10 à 14 kg,46.32
04,10 à 14 kg,61.065
05,10 à 14 kg,58.199999999999996
06,10 à 14 kg,63.66
07,10 à 14 kg,55.53
08,10 à 14 kg,49.69500000000001
09,10 à 14 kg,58.199999999999996
10,10 à 14 kg,46.32
11,10 à 14 kg,58.199999999999996
12,10 à 14 kg,53.010000000000005
13,10 à 14 kg,61.065
14,10 à 14 kg,39.87
15,10 à 14 kg,49.69500000000001
16,10 à 14 kg,43.214999999999996
17,10 à 14 kg,43.214999999999996
18,10 à 14 kg,39.87
19,10 à 14 kg,46.32
20,10 à 14 kg,178.45499999999998
21,10 à 14 kg,49.69500000000001
22,10 à 14 kg,43.214999999999996
23,10 à 14 kg,43.214999999999996
24,10 à 14 kg,46.32
25,10 à 14 kg,53.010000000000005
26,10 à 14 kg,53.010000000000005
27,10 à 14 kg,39.87
28,10 à 14 kg,34.349999999999994
29,10 à 14 kg,46.32
30,10 à 14 kg,58.199999999999996
31,10 à 14 kg,55.53
32,10 à 14 kg,53.010000000000005
33,10 à 14 kg,49.69500000000001
34,10 à 14 kg,58.199999999999996
35,10 à 14 kg,39.87
36,10 à 14 kg,39.87
37,10 à 14 kg,34.349999999999994
38,10 à 14 kg,55.53
39,10 à 14 kg,53.010000000000005
40,10 à 14 kg,53.010000000000005
41,10 à 14 kg,34.349999999999994
42,10 à 14 kg,49.69500000000001
43,10 à 14 kg,53.010000000000005
44,10 à 14 kg,39.87
45,10 à 14 kg,39.87
46,10 à 14 kg,49.69500000000001
47,10 à 14 kg,53.010000000000005
48,10 à 14 kg,55.53
49,10 à 14 kg,34.349999999999994
50,10 à 14 kg,39.87
51,10 à 14 kg,46.32
52,10 à 14 kg,49.69500000000001
53,10 à 14 kg,34.349999999999994
54,10 à 14 kg,53.010000000000005
55,10 à 14 kg,49.69500000000001
56,10 à 14 kg,43.214999999999996
57,10 à 14 kg,53.010000000000005
58,10 à 14 kg,43.214999999999996
59,10 à 14 kg,49.69500000000001
60,10 à 14 kg,43.214999999999996
61,10 à 14 kg,34.349999999999994
62,10 à 14 kg,46.32
63,10 à 14 kg,46.32
64,10 à 14 kg,53.010000000000005
65,10 à 14 kg,55.53
66,10 à 14 kg,61.065
67,10 à 14 kg,55.53
68,10 à 14 kg,55.53
69,10 à 14 kg,49.69500000000001
70,10 à 14 kg,53.010000000000005
71,10 à 14 kg,49.69500000000001
72,10 à 14 kg,19.44
73,10 à 14 kg,53.010000000000005
74,10 à 14 kg,55.53
75,10 à 14 kg,43.214999999999996
76,10 à 14 kg,43.214999999999996
77,10 à 14 kg,43.214999999999996
78,10 à 14 kg,43.214999999999996
79,10 à 14 kg,39.87
80,10 à 14 kg,43.214999999999996
81,10 à 14 kg,55.53
82,10 à 14 kg,53.010000000000005
83,10 à 14 kg,61.065
84,10 à 14 kg,58.199999999999996
85,10 à 14 kg,39.87
86,10 à 14 kg,39.87
87,10 à 14 kg,43.214999999999996
88,10 à 14 kg,53.010000000000005
